"upload_plugin","Upload Plugin"
"add_marker","Add marker"
"add_hotspot","Add hotspot"
"add_marker_or_hotspots","Add marker or hotspots"
"create_menu_shortcut","Create Shortcut in Menu"
"nice_name","Nice Name"
"icon_class","Icon Class"
"group","Group"
"group_icon_class","Group Icon Class"
"display","Display"
"order","Order"
"filter_type","Filter Type"
"column_configuration","Column Configuration"
"problem_creating_new_custom_report","There was a problem during creating the new report"
"enter_the_name_of_the_new_report","Enter the name of the new report"
"add_custom_report","Add Custom Report"
"custom_reports","Custom Reports"
"custom_report_adapter_sql","SQL"
"custom_report_adapter_analytics","Analytics"
"custom_report_chart_settings", "Chart Settings"
"custom_report_charttype","Chart Type"
"custom_report_charttype_none","None"
"custom_report_charttype_pie","Pie Chart"
"custom_report_charttype_line","Line Chart"
"custom_report_charttype_bar","Bar Chart"
"custom_report_chart_options","Type specific Chart Options"
"custom_report_x_axis","X-Axis"
"custom_report_y_axis","Y-Axis"
"custom_report_datacolumn","Data Column"
"custom_report_labelcolumn","Label Column"
"custom_report_groupBy_columns", "GroupBy Columns"
"custom_report_only_filter", "Only Filter"
"custom_report_filter_and_show", "Filter and Show"
"custom_report_filter_drilldown", "Filter Drilldown"
"start_date","Start date",
"start_date_relative","Start date (relative to today)"
"end_date","End date"
"end_date_relative","End date (relative to today)"
"relative_date_description","i.e. -1m +1d (d=days, m=months, y=years)"
"no_further_sources_allowed","No further data sources allowed"
"source_definition","Source Definition"
"content_social_analysis","Content & Social Analysis"
"up","Up"
"down","Down"
"pass_through_params","Pass Through Params"
"clear_thumbnails","Clear Thumbnails"
"analytics_retargeting_code","Use the retargeting-code for analytics (dc.js)"
"analytics_asynchronous_code","Use the asynchronous code for analytics (ga.js)"
"progress","Progress"
"recipients","Recipients"
"newsletter_send_error","Can't send your newsletter, please contact your administrator!"
"newsletter_sent_message","Your newsletter is now sent to all recipients, this process is done in the background (you can close pimcore in the meantime) and can take up to one hour."
"do_you_really_want_to_send_the_newsletter_to_all_recipients","Do you really want to send the newsletter to all recipients"
"send_test_newsletter","Send Test-Newsletter"
"send_newsletter","Send Newsletter Now"
"object_filter","Object Filter"
"test_email_address","Test E-Mail Address"
"problem_creating_new_newsletter,"There was a problem while creating a new newsletter"
"enter_the_name_of_the_new_newsletter","Enter the name of the new newsletter"
"add_newsletter","Add Newsletter"
"newsletter","Newsletter"
"newsletter_active","Newsletter Active"
"newsletter_confirmed","Newsletter Confirmed"
"gender","Gender"
"crm","CRM"
"notes_events","Notes &amp; Events"
"robots.txt","robots.txt"
"document_style_editor","Document Style-Editor"
"delete_folder","Delete Folder"
"there_are_more_than_one_items_for_the_given_selector","There are more than one items for the given selector, would you like to change all elements (Yes), or just the selected (No)?"
"clear_all_styles","Clear all styles"
"top","Top"
"bottom","Bottom"
"left","Left"
"right","Right"
"padding","Padding"
"margin","Margin"
"appearance","Appearance"
"font-family","Font-Family"
"font-weight","Font-Weight"
"line-height","Line-Height"
"letter-spacing","Letter-Spacing"
"font-style","Font-Style"
"text-align","Text-Align"
"text-decoration","Text-Decoration"
"text-transform","Text-Transform"
"hierarchy","Hierarchy"
"no_item_selected","No item selected"
"select_element","Select Element"
"style_editor","Style Editor"
"preview_and_styles","Preview &amp; Styles"
"absolute_path_to_wkhtmltoimage_binary","Absolute path to wkhtmltoimage binary"
"absolute_path_to_wkhtmltopdf_binary","Absolute path to wkhtmltopdf binary"
"use_original_tiff","Use original TIFF (only PRINT)"
"use_original_tiff_description","Use original TIFF when source format is a TIFF image -> do not modify it."
"home","Home"
"sorry_no_data_available","Sorry, no data available :("
"top_shares_pages","Top Shared Pages"
"social_media","Social Media"
"meta_data","Meta Data (&lt;meta .../&gt;)"
"last_update","Last Update"
"robots_meta_blocked","Blocked by robots Meta"
"robots_txt_blocked","Blocked by robots.txt"
"twitter","Twitter"
"opengraph","OpenGraph"
"microdata","Microdata"
"url_parameters","URL Parameters"
"url_length","URL Length"
"google_plus_one","Google +1"
"facebook_shares","Facebook Shares"
"type_reference","Type Reference"
"h1_text","H1 Text"
"cleanup_existing_data","Cleanup existing data"
"generate_page_previews","Generate Page Previews"
"SEO","SEO"
"port","Port"
"delivery_settings","Delivery Settings"
"message_parts","Message Parts"
"bounce_mail_inbox","Bounce Mail Inbox"
"subject","Subject"
"generate_previews","Generate previews"
"invalid_class_name","Invalid Class Name"
"poster_image","Poster-Image"
"delete_master_document","Delete master document"
"open_master_document","Open master document"
"password_protection","Password-Protection"
"http_auth_warning","WARNING: This applies to all websites"
"logger","Logger"
"redirect_unknown_domains_to_main_domain","Redirect unknown domains (not used for a site and for redirects, ...) to the main domain (above)"
"colorspace","Colorspace"
"in_this_case_a_developer_has_to_implement_a_logic_which_handles_this_action","In this case a developer has to implement the logic to handle this action (there are no further settings)"
"programmatically","Programmatically"
"hours","Hours"
"minutes","Minutes"
"seconds","Seconds"
"link_clicked","Link clicked"
"number_of_links_clicked","Number of links clicked"
"operating_system","Operating System"
"hardware_platform","Hardware Platform"
"tablet","Tablet"
"time_on_site","Time on site"
"visited_pages_before_number","Visited n-pages before"
"number","Number"
"visited_page_before","Visited page before"
"searchengine","Search Engine"
"referrer","Referrer"
"referring_site","Referring Site"
"regular_expression","Regular Expression"
"method","Method"
"hardlink","Hardlink"
"convert_to","Convert to"
"enable_targeting","Enable Targeting"
"AND","AND"
"OR","OR"
"AND_NOT","AND NOT"
"create_a_variant_from_this_page","Create a new variant from the current page to provide a modified version"
"radius_in_km","Radius (km)"
"replace","Replace"
"redirect","Redirect"
"event","Event"
"code_snippet","Code-Snippet"
"browser","Browser"
"conditions","Conditions"
"problem_creating_new_target","There was a problem while creating a new target"
"enter_the_name_of_the_new_target","Enter the name of the new target"
"add_target","Add Target"
"targeting","Targeting"
"debug_admin_translations","Debug Admin-Translations (wrapped in +)"
"paste_inheritance","Paste (inheritance)"
"are_you_sure","Are you sure?"
"all_content_will_be_lost","All content will be lost"
"apply_new_master_document","Apply new master document"
"empty_content_master_content","Empty Content - This is useful after defining a new master document"
"content_master_document","Content-Master Document"
"overwrite","Overwrite"
"click_right_to_overwrite","Click right to overwrite"
"open_document_by_id","Open Document"
"open_asset_by_id","Open Asset"
"open_object_by_id","Open Object"
"please_enter_the_id_of_the_asset","Please enter the ID or Path (e.g. /images/logo.jpg) of the asset"
"please_enter_the_id_of_the_object","Please enter the ID or Path of the object"
"please_enter_the_id_of_the_document","Please enter the ID, Path or URL (also including http://) of the document"
"open_by_id","Open by ID"
"element_not_found","Element not found"
"short_url","Short URL"
"width_and_height_must_be_an_even_number","width and height must be an even number"
"path_or_url_incl_http","Path or URL (also incl. http://)"
"no_matching_document_found_for","No matching document found for"
"open_document_by_url","Open document by URL"
"server_api_key","Server API-Key"
"browser_api_key","Browser API-Key"
"add_childs","Add Children"
"url_incl_http","URL incl. http://"
"import_from_url","Import from URL"
"source_site","Source-Site"
"target_site","Target-Site"
"source_entire_url","Entire URL as Source"
"auto_reload","Auto-Reload"
"do_you_really_want_to_leave_the_editmode","Do you really want to leave the editmode (NO!)"
"or_specify_an_asset_image_below","or specify an asset image below"
"analytics_internalid","GA Internal ID"
"show_in_google_anaytics","Show in Google Analytics"
"medium","Medium"
"style","Style"
"foreground_color","Foreground Color"
"background_color","Background Color"
"enter_the_name_of_the_new_qrcode","Enter the name of the new QR-Code"
"problem_creating_new_qrcode","There was a problem while creating the QR-Code"
"saved_successfully","Saved successfully"
"qr_codes","QR-Codes"
"add_qr_code","Add QR-Code"
"element","Element"
"notes","Notes"
"details_for_selected_event","Details for selected element"
"fields","Fields"
"events","Events"
"analytics_settings_description","To use the complete Google Analytics integration, please configure the Google API Service Account in System Settings"
"webastertools_settings_description","To use the Google Webmaster Tools integration, please configure the Google API Service Account in System Settings"
"google_api_key_missing","Google API private key is missing (p12 file from API Console), please put it into the following location:"
"google_api_private_key_installed","Your Google API private key is installed correctly"
"google_api_access_description","This is required for the Google API integrations. Only use a `Service Account´ from the Google API Console."
"not_possible_with_paging","Sorry, this is not possible in elements which are paged, try to restructure your data to avoid pages in the tree"
"not_supported_by_your_browser","This feature is not supported by your browser, please update to the latest version"
"absolute_path_to_icc_rgb_profile","Absolute path to ICC RGB profile"
"absolute_path_to_icc_cmyk_profile","Absolute path to ICC CMYK profile"
"upload_path","Upload Path"
"inherited","Inherited"
"length","Length"
"selection_options","Selection Options"
"show_in_tree","Show in Tree"
"exactmatch","exact match"
"open_document","Open Document"
"open_image","Open Image"
"expiry","Expiry"
"mobile","Mobile"
"desktop","Desktop"
"drag_me","Drag Me"
"parameterPost","POST Parameters"
"parameterGet","GET Parameters"
"cookies","Cookies"
"serverVars","Server Variables"
"group_by_path","Group by path"
"flush","Flush"
"errors_from_the_last_14_days","Errors from the last 14 days"
"http_errors","HTTP Errors"
"create_redirect_for_moved_renamed_page","Create automatically a redirect when a page is moved or renamed"
"show_close_warning","Show close warning"
"attributes","Attributes"
"matching_text","Matching Text"
"tag_saved_successfully","Tag saved successfully"
"thumbnail_saved_successfully","Thumbnail saved successfully"
"any","Any"
"http_method","HTTP Method"
"url_pattern","URL Pattern<br />(RegExp eg. @success@i)"
"beginning","Beginning"
"element_css_selector","Element (CSS Selector)"
"insert_position","Insert Position"
"code","Code"
"tags","Tags"
"problem_creating_new_tag","There was a problem while creating a new tag"
"enter_the_name_of_the_new_tag","Enter the name of the new tag"
"add_tag","Add Tag"
"tag_snippet_management","Tag & Snippet Management"
"import_class_definition","Import Class Definition"
"show_in_tree","Show in Tree"
"Click here to proceed","Click here to proceed"
"Your browser is not supported. Please install the latest version of one of the following browsers.","Your browser is not supported. Please install the latest version of one of the following browsers."
"open_in_new_window","Open in new Window"
"limit_reached","Limit reached"
"robots_txt_exists_on_filesystem","The robots.txt exists already in the document-root on the filesystem"
"images_with_alt","Images with alt-Text"
"images_without_alt","Images without alt-Text"
"external_links","External Links"
"links","Links"
"only_required_for_reporting_in_pimcore_but_not_for_code_integration","The following is only required if you want to use the reporting functionalities in pimcore, but this is not required for the code integration. "
"casesensitive","case-sensitive"
"path_aliases","Path Aliases"
"path_error_message","A path must start with / and should only contain the following characters: a-zA-Z0-9-_./"
"pretty_url","Pretty URL"
"pretty_url_label","Pretty URL (overrides path from tree-structure)"
"search_engine_optimization","Search Engine Optimization"
"save_success","Saved successfully"
"save_error","Cannot save data"
"password_cannot_be_changed","Password cannot be changed"
"old_password","Old Password"
"new_password","New Password"
"retype_password","Retype Password"
"seo_document_editor","SEO Document Editor"
